name,P,Q,type
AGSTAFA GEN,0,0,Gen
AIR TURBINA GEN 2,0,0,Gen
AIR TURBINA GEN1,0,0,Gen
AWHESI +,7.5,0,Gen
CHITAKHEVI HESI,6,0,Gen
DARIALI G 2,0,0,Gen
DARIALI G 3,4.5,0,Gen
DARIALI G1,4.5,0,Gen
ENG G-3,0,0,Gen
ENG G-5,0,0,Gen
ENG GEN -1,0,0,Gen
ENG GEN 2,0,0,Gen
ENG GEN-4,0,0,Gen
FARAVANI GEN 1,4.5,0,Gen
FARAVANI GEN 2,4.5,0,Gen
GARDAB ME 9 BL,0,0,Gen
GUMATI 1 GEN2,0,0,Gen
GUMATI 1GEN 3,0,0,Gen
GUMATI1 GEN 1,0,0,Gen
GUMATI1 GEN4,0,0,Gen
GUMATI2 GEN1,0,0,Gen
GUMATI2 GEN2,0,0,Gen
GUMATI2 GEN3,0,0,Gen
GURIIS HESEBI,16.5,0,Gen
K.C.T2 GEN 1,0,0,Gen
K.C.T2 GEN 2,0,0,Gen
K.C.T2 GEN 3,0,0,Gen
KCT 1 GEN 1,0,0,Gen
KCT 1 GEN 3,0,0,Gen
KCT1 GEN 2,0,0,Gen
KHADORI,15,0,Gen
KHADORI GEN 2,15,2,Gen
KHELACH G-2,0,0,Gen
KHELACH G-2(1),0,0,Gen
KHELVACH G 5,0,0,Gen
KHELVACH G-3,0,0,Gen
KHELVACH G-4,0,0,Gen
KHELVACH G-6,0,0,Gen
KHELVACH G-SMAL,0,1,Gen
KHOBI 2 GEN 1,0,0,Gen
KHOBI 2 GEN 2,0,0,Gen
KHRAMI 2 GEN 2,3,0,Gen
KHRAMI2 GEN 1,0,0,Gen
KIRNATI 1 G,0,0,Gen
KIRNATI 1 G 2,0,0,Gen
KIRNATI 1 G 2(1),0,0,Gen
KIRNATI 1 G(5),0,0,Gen
KIRNATI 1 SMAII,0,0,Gen
KRAMI 1 G 2,4.5,8,Gen
KRAMI 1 G1,0,0,Gen
KRAMI G 3,0,0,Gen
LAJANURI GEN 2,15,0,Gen
LAJANURI GEN1,7.5,0,Gen
LAJANURI GEN3,7.5,0,Gen
LARSI;KAZBEGI;ARAGVI(1),0,0,Gen
MCIRE HESEBI,6,0,Gen
MESTIA CHALA 1.2,0,0,Gen
MTKVARI-HESI GEN 1(1),0,0,Gen
MTKVARI-HESI GEN 2(1),0,0,Gen
OLD ENERGY,0,0,Gen
ORTACHALA GEN 1,4.5,0,Gen
ORTACHALA GEN 2,0,0,Gen
ORTACHALA GEN 3,3,0,Gen
RICEULA,7.5,3,Gen
RIONI GEN 2,0,0,Gen
RIONI GEN 3,0,0,Gen
RIONI GEN 4,0,0,Gen
RIONI GEN1,0,0,Gen
SAMUKH GEN,0,30,Gen
SHAORI GEN 1(1),0,0,Gen
SHAORI GEN 2(1),0,0,Gen
SHAORI GEN3(1),0,0,Gen
SHAORI GEN4(1),0,0,Gen
SHUAKH G-1,0,0,Gen
SHUAKHEV G-2,0,0,Gen
TBILSRESI GEN 3,0,0,Gen
TBILSRESI GEN 4,0,0,Gen
TKIBULI GEN 1,3,3,Gen
TKIBULI GEN 2,0,0,Gen
TKIBULI GEN 3(1),0,0,Gen
TKIBULI GEN 4(1),0,0,Gen
VARCIKHE G 1,0,0,Gen
VARCIKHE G 2,0,0,Gen
VARCIKHE G 3,0,0,Gen
VARCIKHE G 5,0,0,Gen
VARCIKHE G4,0,0,Gen
VARCIKHE G6,0,0,Gen
VARDNILI GEN1,6,0,Gen
VARDNILI GEN2,7.5,0,Gen
VARDNILI GEN3,0,0,Gen
VARTSIKHE GEN 7,0,0,Gen
Vartsikhe gen 8,0,0,Gen
ZAHESI G 1,0,0,Gen
ZAHESI G 2,0,0,Gen
ZAHESI G 3,0,0,Gen
ZAHESI G 4,0,0,Gen
ZAHESI G5,0,0,Gen
ZAHESI G6,0,0,Gen
ZHINVALI GEN 1,0,0,Gen
ZHINVALI GEN 2,3.75,0,Gen
ZHINVALI GEN 3,0,0,Gen
ZHINVALI GEN 4,3.75,0,Gen
ZXCENTR,0,0,Gen
